Years Experience,Currently Employed,Number of Previous employers,Level of Education,Attended Top University,Internship,Gap in Career,Improving Skillset,Different Domain,Current Domain,German Speaking,Willing to Travel,Can be considered for Hiring
16,N,1,PhD,N,N,Y,N,Y,mathematics,N,Y,Y
20,Y,0,PhD,N,Y,N,Y,N,Information Technology,N,N,Y
20,N,1,Graduation,N,Y,Y,N,N,Information Technology,Y,N,Y
20,N,2,Graduation,N,Y,Y,N,N,Information Technology,Y,N,Y
18,Y,2,Graduation,Y,Y,N,Y,N,Information Technology,N,Y,Y
18,Y,2,Graduation,N,Y,N,Y,Y,mathematics,N,Y,Y
18,N,2,Graduation,N,Y,N,Y,Y,mathematics,Y,Y,Y
17,Y,1,Graduation,N,Y,N,N,N,Information Technology,N,N,Y
16,N,4,Graduation,Y,Y,Y,Y,N,Information Technology,Y,N,Y
16,N,1,Graduation,Y,N,Y,Y,N,Information Technology,Y,N,Y
15,Y,4,Post-Graduation,N,Y,N,N,N,Information Technology,N,Y,Y
15,N,2,PhD,N,Y,N,Y,N,Information Technology,N,Y,Y
14,N,0,Graduation,N,Y,Y,N,Y,physics,N,N,Y
14,N,0,Graduation,N,Y,Y,Y,N,Information Technology,N,N,Y
13,N,2,Graduation,N,N,N,N,Y,physics,N,N,Y
13,N,2,Graduation,Y,N,N,N,Y,mathematics,N,Y,Y
12,N,2,Post-Graduation,Y,Y,Y,Y,Y,mathematics,N,Y,Y
12,Y,0,Post-Graduation,Y,N,Y,Y,N,Information Technology,Y,Y,Y
11,Y,1,Post-Graduation,N,N,N,N,N,Information Technology,Y,Y,Y
10,N,4,Graduation,Y,N,N,N,Y,physics,N,Y,Y
10,N,4,Graduation,N,Y,N,Y,N,Information Technology,N,Y,Y
10,Y,1,Graduation,N,Y,N,Y,Y,Event Manager,N,Y,Y
8,N,4,Graduation,Y,Y,Y,Y,N,Information Technology,N,N,Y
7,N,5,Graduation,Y,N,Y,Y,Y,physics,N,Y,Y
6,Y,5,Graduation,Y,N,N,Y,Y,mathematics,Y,Y,Y
5,Y,1,PhD,N,N,Y,N,Y,mathematics,Y,Y,Y
5,Y,2,Graduation,N,N,Y,N,N,Information Technology,Y,Y,Y
5,Y,3,PhD,N,N,N,Y,N,Information Technology,Y,N,Y
4,Y,0,Graduation,N,Y,N,Y,N,Information Technology,Y,N,Y
4,N,0,Post-Graduation,N,Y,N,N,N,Information Technology,Y,N,Y
4,N,0,PhD,N,Y,N,Y,N,Information Technology,Y,N,Y
3,N,0,Graduation,N,N,N,Y,Y,mathematics,N,N,Y
3,Y,0,Graduation,N,Y,N,N,Y,mathematics,N,Y,Y
3,N,0,Graduation,N,Y,N,Y,N,Information Technology,Y,N,Y
3,N,0,PhD,N,N,N,N,N,Information Technology,N,Y,Y
2,N,0,PhD,N,Y,N,Y,N,Information Technology,Y,N,Y
1,N,0,PhD,N,N,N,N,Y,physics,Y,Y,Y
0,Y,0,PhD,N,Y,N,N,N,Information Technology,N,N,Y
20,N,10,Post-Graduation,N,N,N,N,Y,Event Manager,N,Y,N
20,N,6,Graduation,N,N,Y,N,Y,taxi driver,N,Y,N
20,N,7,PhD,N,N,Y,N,Y,taxi driver,Y,Y,N
19,N,3,Post-Graduation,N,N,Y,N,Y,taxi driver,N,Y,N
19,N,3,Graduation,N,N,Y,N,Y,taxi driver,Y,Y,N
19,N,2,PhD,N,N,Y,N,Y,taxi driver,N,N,N
19,N,5,Graduation,N,N,N,N,N,Information Technology,N,N,N
18,Y,0,Graduation,N,N,N,N,N,Information Technology,N,N,N
17,N,6,PhD,N,N,N,N,N,Information Technology,Y,N,N
17,Y,0,PhD,N,N,N,N,N,Information Technology,N,N,N
17,Y,5,Graduation,N,N,Y,N,Y,Event Manager,Y,N,N
17,Y,7,Graduation,N,N,Y,N,Y,taxi driver,N,Y,N
17,N,9,Post-Graduation,N,N,Y,N,Y,nurse,N,Y,N
16,N,1,Graduation,N,N,Y,N,N,Information Technology,N,N,N
15,N,2,Graduation,N,N,Y,N,Y,physics,Y,N,N
15,Y,6,Graduation,Y,N,Y,N,Y,nurse,Y,N,N
14,Y,5,Post-Graduation,N,N,Y,N,Y,Event Manager,N,N,N
13,Y,2,Graduation,N,N,Y,N,Y,Information Technology,N,N,N
11,Y,5,Graduation,N,N,Y,N,Y,Information Technology,N,N,N
10,Y,6,Graduation,N,N,Y,N,Y,physics,N,N,N
10,Y,3,PhD,N,N,Y,N,Y,physics,N,N,N
10,Y,5,PhD,N,N,Y,N,N,Information Technology,N,N,N
10,Y,2,PhD,N,N,Y,N,Y,Event Manager,N,N,N
9,Y,3,PhD,N,N,Y,N,Y,Event Manager,N,N,N
7,Y,10,Post-Graduation,N,N,Y,N,Y,Event Manager,N,N,N
7,Y,3,Post-Graduation,N,N,Y,N,Y,nurse,N,N,N
6,Y,5,Graduation,N,N,Y,N,N,Information Technology,N,N,N
6,Y,4,Graduation,N,N,Y,N,N,Information Technology,N,N,N
5,Y,3,Post-Graduation,N,N,Y,N,N,Information Technology,N,N,N
5,Y,10,Post-Graduation,N,N,Y,N,N,Information Technology,N,N,N
5,Y,1,PhD,N,N,Y,N,N,Information Technology,N,N,N
5,Y,2,Graduation,N,N,Y,N,Y,mathematics,N,N,N
5,Y,4,PhD,N,N,Y,N,N,Information Technology,N,N,N
4,Y,5,Graduation,N,N,Y,N,N,Information Technology,N,N,N
4,Y,7,Graduation,N,N,Y,N,Y,taxi driver,N,N,N
4,Y,10,Graduation,N,N,Y,N,Y,nurse,N,N,N
3,Y,6,Graduation,N,N,Y,N,N,Information Technology,N,N,N
3,Y,9,PhD,N,N,Y,N,N,Information Technology,N,N,N
3,Y,3,PhD,N,N,Y,N,N,Information Technology,N,N,N
3,Y,10,PhD,N,N,Y,N,N,Information Technology,N,N,N
3,Y,3,Graduation,N,N,Y,N,N,Information Technology,N,N,N
3,Y,3,Graduation,N,N,Y,N,N,Information Technology,N,N,N
3,Y,8,Graduation,N,N,Y,N,Y,taxi driver,N,N,N
2,Y,5,Post-Graduation,N,N,Y,N,N,Information Technology,N,N,N
2,Y,6,Graduation,N,N,Y,N,Y,physics,N,N,N
2,Y,10,Graduation,N,N,Y,N,Y,mathematics,N,N,N
0,Y,0,Graduation,N,N,Y,N,Y,physics,N,N,N
0,Y,0,PhD,N,N,Y,N,N,Information Technology,N,N,N
0,Y,0,Graduation,N,N,Y,N,Y,physics,N,N,N
0,Y,7,PhD,N,N,Y,N,N,Information Technology,N,N,N
0,Y,2,Graduation,N,N,Y,N,Y,mathematics,N,N,N
17,N,7,Graduation,Y,N,N,N,Y,Event Manager,N,N,N
14,Y,9,Graduation,N,N,N,N,Y,taxi driver,Y,N,N
11,N,5,PhD,Y,N,N,N,Y,Event Manager,N,N,N
8,N,9,Post-Graduation,Y,N,Y,N,Y,Event Manager,N,Y,N
8,Y,0,Graduation,Y,N,Y,N,Y,Event Manager,N,Y,N
8,Y,10,PhD,Y,N,Y,N,Y,nurse,Y,N,N
7,Y,10,PhD,Y,N,N,N,Y,nurse,Y,N,N
5,N,4,PhD,N,N,N,N,Y,Event Manager,N,Y,N
5,Y,3,PhD,N,N,N,N,Y,Event Manager,Y,Y,N
3,Y,3,Graduation,N,N,N,N,Y,nurse,N,Y,N
0,Y,0,Graduation,N,N,N,N,Y,taxi driver,Y,N,N
